date;day_text;note
2025-01-01;;Deň vzniku Slovenskej republiky
2025-01-06;;Zjavenie Pána
2025-04-18;;Veľký piatok
2025-04-21;;Veľkonočný pondelok
2025-05-01;;Sviatok práce
2025-05-08;;Deň víťazstva nad fašizmom
2025-07-05;;Sviatok svätého Cyrila a Metoda
2025-08-29;;Výročie SNP
2025-09-01;;Deň Ústavy Slovenskej republiky
2025-09-15;;Sedembolestná Panna Mária
2025-11-01;;Sviatok všetkých svätých
2025-11-17;;Deň boja za slobodu a demokraciu
2025-12-24;;Štedrý deň
2025-12-25;;Prvý sviatok vianočný
2025-12-26;;Druhý sviatok vianočný
